"Train","Validation","K","G","model_type","n_rbf","lambda","c","poly","auc","mad.auc.","ams","mad.ams."
"t","b",10,3,"logistic_model",0,1e-04,1,1,0.819877053326627,0.0568606171657574,1.94400059270047,0.164288080913767
"t","b",10,3,"logistic_model",1,1e-04,1,1,0.819868776309401,0.0553994330768393,1.93277365078561,0.126595292965885
"t","b",10,3,"logistic_model",2,1e-04,1,1,0.819825194035057,0.053198808025396,1.92761616310049,0.125892370747289
"t","b",10,3,"logistic_model",3,1e-04,1,1,0.819950765839877,0.0520287765170425,1.93472648721233,0.124552500170425
"t","b",10,3,"logistic_model",0,0.000239136021537497,NA,1,0.819913544708854,0.0566126824220559,1.93976735987286,0.131049976284638
"t","b",10,3,"logistic_model",1,0.000239136021537497,NA,1,0.819885820388472,0.053992631056585,1.93227808456182,0.123671065837663
"t","b",10,3,"logistic_model",2,0.000239136021537497,NA,1,0.819885820388472,0.053992631056585,1.93227808456182,0.123671065837663
"t","b",10,3,"logistic_model",0,0.000571860367967822,NA,1,0.819865386524343,0.0539329196436305,1.93213634218812,0.127089753785996
"t","b",10,3,"logistic_model",3,0.000239136021537497,NA,1,0.819885820388472,0.053992631056585,1.93227808456182,0.123671065837663
"t","b",10,3,"logistic_model",1,0.000571860367967822,NA,1,0.819885122386052,0.053992631056585,1.93227836850423,0.123671065837663
"t","b",10,3,"logistic_model",0,0.00136752413270794,NA,1,0.819912481166713,0.0534941438812359,1.93076565408017,0.11002390833883
"t","b",10,3,"logistic_model",2,0.000571860367967822,NA,1,0.819885122386052,0.053992631056585,1.93227836850423,0.123671065837663
"t","b",10,3,"logistic_model",3,0.000571860367967822,NA,1,0.819885122386052,0.053992631056585,1.93227836850423,0.123671065837663
"t","b",10,3,"logistic_model",1,0.00136752413270794,NA,1,0.819885122386052,0.053992631056585,1.93233042710271,0.124042788801107
"t","b",10,3,"logistic_model",0,0.00327024280452292,NA,1,0.819957971082195,0.0542354554340858,1.93368189045313,0.123697332544594
"t","b",10,3,"logistic_model",2,0.00136752413270794,NA,1,0.819885122386052,0.053992631056585,1.93233042710271,0.124042788801107
"t","b",10,3,"logistic_model",0,0.00782032853735237,NA,1,0.819954759665979,0.0525476943507724,1.93025148973674,0.111771158876355
"t","b",10,3,"logistic_model",1,0.00327024280452292,NA,1,0.819885122386052,0.053992631056585,1.93232314630496,0.124081974427596
"t","b",10,3,"logistic_model",3,0.00136752413270794,NA,1,0.819885122386052,0.053992631056585,1.93233042710271,0.124042788801107
"t","b",10,3,"logistic_model",0,0.018701222535386,NA,1,0.819888734368035,0.052114399007828,1.94427209861386,0.129971192139227
"t","b",10,3,"logistic_model",2,0.00327024280452292,NA,1,0.819885122386052,0.053992631056585,1.93232314630496,0.124081974427596
"t","b",10,3,"logistic_model",1,0.00782032853735237,NA,1,0.81988448555031,0.053992631056585,1.93231994891651,0.124072278213396
"t","b",10,3,"logistic_model",0,0.0447213595499958,NA,1,0.81990093780607,0.0556637817014335,1.94007319819887,0.131046646174572
"t","b",10,3,"logistic_model",3,0.00327024280452292,NA,1,0.819885122386052,0.053992631056585,1.93232314630496,0.124081974427596
"t","b",10,3,"logistic_model",2,0.00782032853735237,NA,1,0.81988448555031,0.053992631056585,1.93231994891651,0.124072278213396
"t","b",10,3,"logistic_model",1,0.018701222535386,NA,1,0.819886533214852,0.0540230863137369,1.93232005208036,0.124123149002
"t","b",10,3,"logistic_model",0,0.106944880005339,NA,1,0.819883672684459,0.0505057816607509,1.93783073869193,0.139245771016706
